"","V1","V2","V3","V4","V5","V6","V7","V8","initiale","err_initiale"
"1",13.1,12,11.9,12.3333333333333,0.665832811847939,0.384418753155693,2004,0,12.3333333333333,0.378593889720018
"2",12.6,12.3,13.4,12.7666666666667,0.568624070307733,0.32829526005987,2004,1,12.7666666666667,0.378593889720018
"3",12,12,11.4,11.8,0.346410161513775,0.2,2004,2,11.8,0.378593889720018
"4",14.4,12.5,12.7,13.2,1.04403065089106,0.602771377334171,2004,3,13.2,0.378593889720018
"5",12,13.4,12.3,12.5666666666667,0.737111479583199,0.425571511160124,2004,4,12.5666666666667,0.378593889720018
"6",13.7,12.6,11.5,12.6,1.1,0.635085296108588,2004,5,12.6,0.378593889720018
"7",13,11.9,12.2,12.3666666666667,0.568624070307733,0.32829526005987,2004,6,12.3666666666667,0.378593889720018
"8",12.7,13.4,12.9,13,0.360555127546399,0.208166599946614,2004,7,13,0.378593889720018
"9",13.7,11.9,13,12.8666666666667,0.907377172587746,0.523874454850057,2004,8,12.8666666666667,0.378593889720018
"10",12.6,12.5,11.9,12.3333333333333,0.378593889720018,0.2185812841434,2004,9,12.3333333333333,0.378593889720018
"11",12.4,11.7,12.7,12.2666666666667,0.513160143944689,0.296273147243853,2005,0,12.3333333333333,0.378593889720018
"12",11.6,13,12.8,12.4666666666667,0.757187779440037,0.4371625682868,2005,1,12.7666666666667,0.378593889720018
"13",12.5,11.3,12.1,11.9666666666667,0.611010092660778,0.352766841475278,2005,2,11.8,0.378593889720018
"14",12.6,13.3,13.5,13.1333333333333,0.472581562625261,0.272845092395749,2005,3,13.2,0.378593889720018
"15",13.5,12.4,12.3,12.7333333333333,0.665832811847939,0.384418753155693,2005,4,12.5666666666667,0.378593889720018
"16",12,12.7,12.8,12.5,0.435889894354067,0.251661147842358,2005,5,12.6,0.378593889720018
"17",14.1,13.6,12.9,13.5333333333333,0.60277137733417,0.348010216963685,2005,6,12.3666666666667,0.378593889720018
"18",12.7,13.6,12.5,12.9333333333333,0.585946527708232,0.338296385503074,2005,7,13,0.378593889720018
"19",12.6,13,12.5,12.7,0.264575131106459,0.152752523165195,2005,8,12.8666666666667,0.378593889720018
"20",12.4,12.9,12.4,12.5666666666667,0.288675134594813,0.166666666666667,2005,9,12.3333333333333,0.378593889720018
"21",11.2,11.4,10.9,11.1666666666667,0.251661147842358,0.145296631451356,2006,0,12.3333333333333,0.378593889720018
"22",12.6,12.5,12.2,12.4333333333333,0.208166599946614,0.120185042515466,2006,1,12.7666666666667,0.378593889720018
"23",11.6,10.8,11.9,11.4333333333333,0.568624070307732,0.32829526005987,2006,2,11.8,0.378593889720018
"24",12.6,12.6,13.3,12.8333333333333,0.404145188432739,0.233333333333334,2006,3,13.2,0.378593889720018
"25",13.6,12.7,15.6,13.9666666666667,1.48436293854749,0.856997342145496,2006,4,12.5666666666667,0.378593889720018
"26",13.3,13.4,12,12.9,0.781024967590666,0.45092497528229,2006,5,12.6,0.378593889720018
"27",13.6,12.5,12.5,12.8666666666667,0.635085296108588,0.366666666666667,2006,6,12.3666666666667,0.378593889720018
"28",12.7,12.9,12.2,12.6,0.360555127546399,0.208166599946614,2006,7,13,0.378593889720018
"29",13,12.9,12.9,12.9333333333333,0.0577350269189624,0.0333333333333332,2006,8,12.8666666666667,0.378593889720018
"30",13.1,12.4,11.8,12.4333333333333,0.650640709864771,0.375647588986155,2006,9,12.3333333333333,0.378593889720018
"31",12.1,11.7,10.6,11.4666666666667,0.776745346515403,0.448454134902457,2007,0,12.3333333333333,0.378593889720018
"32",12,12.3,11.3,11.8666666666667,0.513160143944688,0.296273147243853,2007,1,12.7666666666667,0.378593889720018
"33",11.9,11.3,11.4,11.5333333333333,0.321455025366432,0.185592145427667,2007,2,11.8,0.378593889720018
"34",12.4,12.5,13.2,12.7,0.435889894354067,0.251661147842358,2007,3,13.2,0.378593889720018
"35",13,13.6,12.3,12.9666666666667,0.650640709864771,0.375647588986155,2007,4,12.5666666666667,0.378593889720018
"36",12.7,12.5,12.3,12.5,0.199999999999999,0.115470053837925,2007,5,12.6,0.378593889720018
"37",13.3,13.3,13,13.2,0.173205080756888,0.1,2007,6,12.3666666666667,0.378593889720018
"38",12.7,11.9,12.2,12.2666666666667,0.404145188432738,0.233333333333333,2007,7,13,0.378593889720018
"39",13.2,12.2,12.1,12.5,0.608276253029822,0.351188458428425,2007,8,12.8666666666667,0.378593889720018
"40",13.2,11.8,12.6,12.5333333333333,0.702376916856849,0.405517502019881,2007,9,12.3333333333333,0.378593889720018
"41",11.293,11.041,10.954,11.096,0.176065328784516,0.1016513649687,2008,0,12.3333333333333,0.378593889720018
"42",11.721,10.906,11.449,11.3586666666667,0.414941361319082,0.239566506655482,2008,1,12.7666666666667,0.378593889720018
"43",11.695,10.808,10.939,11.1473333333333,0.478794667193917,0.276432229990965,2008,2,11.8,0.378593889720018
"44",12.652,12.944,12.466,12.6873333333333,0.240950894028916,0.139113063529075,2008,3,13.2,0.378593889720018
"45",12.801,12.229,12.235,12.4216666666667,0.328526001000429,0.189674575113389,2008,4,12.5666666666667,0.378593889720018
"46",12.923,12.449,12.204,12.5253333333333,0.365527472747717,0.211037384787098,2008,5,12.6,0.378593889720018
"47",13.628,13.257,11.716,12.867,1.01390877301659,0.58538050303485,2008,6,12.3666666666667,0.378593889720018
"48",12.332,12.707,12.705,12.5813333333333,0.21593131624045,0.124668003557894,2008,7,13,0.378593889720018
"49",12.608,11.378,12.043,12.0096666666667,0.615677134002339,0.355461359050147,2008,8,12.8666666666667,0.378593889720018
"50",13.583,12.679,12.41,12.8906666666667,0.61447891203306,0.354769565273636,2008,9,12.3333333333333,0.378593889720018
