"","ID","site","Date_prel","Date_labo","parcelle","horizon","MSr.105øC","MS.105øC..g...100.g.MB.","pH.eau","pH.KCL","N.Dumas..g.kg.MS105.","N.Dumas..g.kg.sec.","C.orga..g.100g.MS105.","C.orga..g.100g.sec.","P.O.Dabin..mg.kg.MS105.","P.O.Dabin..mg.kg.sec.","CEC","Ca..ch","Mg..ch","K..ch","Na..ch","nølabo","Code_site","Parcelle","C.org1er","C.org2em","C.org2em3","C.orgNC","C.org","traitement","bloc","SOL","Date_prelevement","Date2","Date3","date_test","horizon_num","trai_num"
"1",1,"LYC","15/12/2008","16/12/2008",1,"0-30 cm","0.979",NA,7.14,6.11,NA,"1.343",NA,"1.394",NA,"144.368","7.106","4.57","1.885","0.567","0.262",91850,"0-LYC",1,1.394,0,0,1.394,1.394,"5-Com72",1,"arénosol",2008-12-15,"2008",2008-10-10,4,3,5
"2",2,"LYC","15/12/2008","16/12/2008",2,"0-30 cm","0.977",NA,6.34,6.28,NA,"1.131",NA,"1.102",NA,"110.324","4.944","3.304","1.338","0.219","0.2",91851,"0-LYC",2,1.102,0,0,1.102,1.102,"1- Min70",1,"arénosol",2008-12-15,"2008",2008-10-10,4,3,1
"3",3,"LYC","15/12/2008","16/12/2008",3,"0-30 cm","0.974",NA,7.29,6.24,NA,"1.384",NA,"1.423",NA,"143.131","7.574","4.668","2.277","0.749","0.217",91852,"0-LYC",3,1.423,0,0,1.423,1.423,"6-Com12",1,"arénosol",2008-12-15,"2008",2008-10-10,4,3,6
"4",4,"LYC","15/12/2008","16/12/2008",4,"0-30 cm","0.975",NA,7.77,6.56,NA,"1.413",NA,"1.41",NA,"133.962","7.887","3.848","2.549","1.553","0.148",91853,"0-LYC",4,1.41,0,0,1.41,1.41,"3-Lis40",1,"arénosol",2008-12-15,"2008",2008-10-10,4,3,3
"5",5,"LYC","15/12/2008","16/12/2008",5,"0-30 cm","0.975",NA,6.75,5.34,NA,"1.063",NA,"1.083",NA,"64.889","5.06","3.096","1.537","0.198","0.214",91854,"0-LYC",5,1.083,0,0,1.083,1.083,"0-Temoin",1,"arénosol",2008-12-15,"2008",2008-10-10,4,3,0
"6",6,"LYC","15/12/2008","16/12/2008",6,"0-30 cm","0.972",NA,6.9,5.91,NA,"1.483",NA,"1.565",NA,"112.177","7.45","4.835","2.202","0.399","0.19",91855,"0-LYC",6,1.565,0,0,1.565,1.565,"9-Mix1248",1,"arénosol",2008-12-15,"2008",2008-10-10,4,3,9
"7",7,"LYC","15/12/2008","16/12/2008",7,"0-30 cm","0.973",NA,7.12,6.04,NA,"1.568",NA,"1.524",NA,"176.449","8.062","4.184","2.769","1.095","0.111",91856,"0-LYC",7,1.524,0,0,1.524,1.524,"8-Mix4070",1,"arénosol",2008-12-15,"2008",2008-10-10,4,3,8
"8",8,"LYC","15/12/2008","16/12/2008",8,"0-30 cm","0.972",NA,5.64,4.57,NA,"1.376",NA,"1.322",NA,"110.98","3.993","2.499","1.19","0.08","0.096",91857,"0-LYC",8,1.322,0,0,1.322,1.322,"2-Min120",1,"arénosol",2008-12-15,"2008",2008-10-10,4,3,2
"9",9,"LYC","15/12/2008","16/12/2008",9,"0-30 cm","0.969",NA,7.29,6.42,NA,"1.803",NA,"1.751",NA,"338.758","10.27","5.715","3.868","2.085","0.132",91858,"0-LYC",9,1.751,0,0,1.751,1.751,"4-Lis70",1,"arénosol",2008-12-15,"2008",2008-10-10,4,3,4
"10",10,"LYC","15/12/2008","16/12/2008",10,"0-30 cm","0.976",NA,6.43,5.5,NA,"1.621",NA,"1.656",NA,"192.5","7.4","4.641","2.067","0.434","0.194",91859,"0-LYC",10,1.656,0,0,1.656,1.656,"7-Mix72",1,"arénosol",2008-12-15,"2008",2008-10-10,4,3,7
"11",11,"LYC","15/12/2008","16/12/2008",11,"0-30 cm","0.974",NA,6.81,5.86,NA,"2.087",NA,"2.189",NA,"255.073","9.065","6.593","2.691","0.579","0.213",91860,"0-LYC",11,2.189,0,0,2.189,2.189,"9-Mix1248",2,"arénosol",2008-12-15,"2008",2008-10-10,4,3,9
"12",12,"LYC","15/12/2008","16/12/2008",12,"0-30 cm","0.98",NA,6.6,5.12,NA,"1.142",NA,"1.046",NA,"231.542","4.657","2.739","1.31","0.373","0.198",91861,"0-LYC",12,1.046,0,0,1.046,1.046,"0-Temoin",2,"arénosol",2008-12-15,"2008",2008-10-10,4,3,0
"13",13,"LYC","15/12/2008","16/12/2008",13,"0-30 cm","0.979",NA,5.56,4.41,NA,"1.188",NA,"1.144",NA,"251.005","3.22","1.944","0.96","0.088","0.068",91862,"0-LYC",13,1.144,0,0,1.144,1.144,"2-Min120",2,"arénosol",2008-12-15,"2008",2008-10-10,4,3,2
"14",14,"LYC","15/12/2008","16/12/2008",14,"0-30 cm","0.979",NA,7.3,6.37,NA,"1.469",NA,"1.368",NA,"420.054","8.225","3.571","3.117","1.617","0.12",91863,"0-LYC",14,1.368,0,0,1.368,1.368,"4-Lis70",2,"arénosol",2008-12-15,"2008",2008-10-10,4,3,4
"15",15,"LYC","15/12/2008","16/12/2008",15,"0-30 cm","0.979",NA,6.94,5.86,NA,"1.252",NA,"1.147",NA,"324.224","6.742","3.113","2.335","1.371","0.108",91864,"0-LYC",15,1.147,0,0,1.147,1.147,"8-Mix4070",2,"arénosol",2008-12-15,"2008",2008-10-10,4,3,8
"16",16,"LYC","15/12/2008","16/12/2008",16,"0-30 cm","0.976",NA,7.17,6.08,NA,"1.772",NA,"1.866",NA,"376.645","8.965","5.297","2.717","0.835","0.243",91865,"0-LYC",16,1.866,0,0,1.866,1.866,"6-Com12",2,"arénosol",2008-12-15,"2008",2008-10-10,4,3,6
"17",17,"LYC","15/12/2008","16/12/2008",17,"0-30 cm","0.981",NA,6.01,4.75,NA,"1.03",NA,"0.946",NA,"236.215","3.649","2.325","0.983","0.144","0.13",91866,"0-LYC",17,0.946,0,0,0.946,0.946,"1- Min70",2,"arénosol",2008-12-15,"2008",2008-10-10,4,3,1
"18",18,"LYC","15/12/2008","16/12/2008",18,"0-30 cm","0.979",NA,6.95,5.71,NA,"1.266",NA,"1.27",NA,"262.713","6.562","3.77","1.854","0.776","0.22",91867,"0-LYC",18,1.27,0,0,1.27,1.27,"5-Com72",2,"arénosol",2008-12-15,"2008",2008-10-10,4,3,5
"19",19,"LYC","15/12/2008","16/12/2008",19,"0-30 cm","0.977",NA,6.52,5.48,NA,"1.684",NA,"1.729",NA,"206.246","6.649","4.448","1.931","0.31","0.147",91868,"0-LYC",19,1.729,0,0,1.729,1.729,"7-Mix72",2,"arénosol",2008-12-15,"2008",2008-10-10,4,3,7
"20",20,"LYC","15/12/2008","16/12/2008",20,"0-30 cm","0.98",NA,7.28,6.18,NA,"1.358",NA,"1.291",NA,"255.941","7.201","3.265","2.582","1.573","0.105",91869,"0-LYC",20,1.291,0,0,1.291,1.291,"3-Lis40",2,"arénosol",2008-12-15,"2008",2008-10-10,4,3,3
"21",21,"LYC","15/12/2008","16/12/2008",21,"0-30 cm","0.979",NA,7.23,6.13,NA,"1.385",NA,"1.285",NA,"251.758","6.998","3.226","2.504","1.397","0.119",91870,"0-LYC",21,1.285,0,0,1.285,1.285,"3-Lis40",3,"arénosol",2008-12-15,"2008",2008-10-10,4,3,3
"22",22,"LYC","15/12/2008","16/12/2008",22,"0-30 cm","0.979",NA,5.83,4.59,NA,"1.249",NA,"1.201",NA,"216.226","3.623","2.338","1.072","0.117","0.096",91871,"0-LYC",22,1.201,0,0,1.201,1.201,"1- Min70",3,"arénosol",2008-12-15,"2008",2008-10-10,4,3,1
"23",23,"LYC","15/12/2008","16/12/2008",23,"0-30 cm","0.978",NA,6.92,5.99,NA,"1.666",NA,"1.569",NA,"316.329","8.031","3.76","2.81","1.768","0.114",91872,"0-LYC",23,1.569,0,0,1.569,1.569,"8-Mix4070",3,"arénosol",2008-12-15,"2008",2008-10-10,4,3,8
"24",24,"LYC","15/12/2008","16/12/2008",24,"0-30 cm","0.978",NA,6.39,5.39,NA,"1.316",NA,"1.261",NA,"176.911","5.92","3.783","1.723","0.458","0.199",91873,"0-LYC",24,1.261,0,0,1.261,1.261,"7-Mix72",3,"arénosol",2008-12-15,"2008",2008-10-10,4,3,7
"25",25,"LYC","15/12/2008","16/12/2008",25,"0-30 cm","0.976",NA,6.76,5.78,NA,"1.47",NA,"1.465",NA,"182.868","8.43","5.769","2.496","0.698","0.233",91874,"0-LYC",25,1.465,0,0,1.465,1.465,"9-Mix1248",3,"arénosol",2008-12-15,"2008",2008-10-10,4,3,9
"26",26,"LYC","15/12/2008","16/12/2008",26,"0-30 cm","0.977",NA,7,5.94,NA,"1.478",NA,"1.506",NA,"220.723","6.892","4.314","2.228","0.845","0.261",91875,"0-LYC",26,1.506,0,0,1.506,1.506,"5-Com72",3,"arénosol",2008-12-15,"2008",2008-10-10,4,3,5
"27",27,"LYC","15/12/2008","16/12/2008",27,"0-30 cm","0.976",NA,7.24,6.17,NA,"1.67",NA,"1.755",NA,"225.94","9.255","5.978","2.847","0.95","0.259",91876,"0-LYC",27,1.755,0,0,1.755,1.755,"6-Com12",3,"arénosol",2008-12-15,"2008",2008-10-10,4,3,6
"28",28,"LYC","15/12/2008","16/12/2008",28,"0-30 cm","0.978",NA,5.63,4.49,NA,"1.332",NA,"1.309",NA,"177.795","3.891","2.663","1.25","0.067","0.068",91877,"0-LYC",28,1.309,0,0,1.309,1.309,"2-Min120",3,"arénosol",2008-12-15,"2008",2008-10-10,4,3,2
"29",29,"LYC","15/12/2008","16/12/2008",29,"0-30 cm","0.978",NA,6.58,5.17,NA,"1.174",NA,"1.135",NA,"162.193","5.25","3.345","1.681","0.294","0.196",91878,"0-LYC",29,1.135,0,0,1.135,1.135,"0-Temoin",3,"arénosol",2008-12-15,"2008",2008-10-10,4,3,0
"30",30,"LYC","15/12/2008","16/12/2008",30,"0-30 cm","0.976",NA,7.35,6.4,NA,"1.782",NA,"1.698",NA,"313.499","10.709","5.497","4.076","2.471","0.116",91879,"0-LYC",30,1.698,0,0,1.698,1.698,"4-Lis70",3,"arénosol",2008-12-15,"2008",2008-10-10,4,3,4
"31",31,"SED","15/12/2008","16/12/2008",1,"0-30 cm","0.626",NA,5.95,5.09,NA,"10.348",NA,"13.554",NA,"259.501","14.154","7.935","3.977","0.537","0.27",91880,"2-SED",1,13.554,0,0,13.554,13.554,"5-Com72",1,"andosol",2008-12-15,"2008",2008-10-10,4,3,5
"32",32,"SED","15/12/2008","16/12/2008",2,"0-30 cm","0.624",NA,5.27,4.71,NA,"10.258",NA,"13.265",NA,"203.085","8.329","5.019","1.657","0.135","0.124",91881,"2-SED",2,13.265,0,0,13.265,13.265,"1- Min70",1,"andosol",2008-12-15,"2008",2008-10-10,4,3,1
"33",33,"SED","15/12/2008","16/12/2008",3,"0-30 cm","0.673",NA,6.16,5.19,NA,"10.749",NA,"13.476",NA,"314.131","18.233","10.577","5.319","0.885","0.333",91882,"2-SED",3,13.476,0,0,13.476,13.476,"6-Com12",1,"andosol",2008-12-15,"2008",2008-10-10,4,3,6
"34",34,"SED","15/12/2008","16/12/2008",4,"0-30 cm","0.676",NA,6.15,5.12,NA,"10.645",NA,"13.509",NA,"332.514","14.802","7.378","5.257","1.501","0.159",91883,"2-SED",4,13.509,0,0,13.509,13.509,"3-Lis40",1,"andosol",2008-12-15,"2008",2008-10-10,4,3,3
"35",35,"SED","15/12/2008","16/12/2008",5,"0-30 cm","0.669",NA,5.87,4.99,NA,"9.571",NA,"12.542",NA,"228.466","10.822","5.648","3.073","0.234","0.083",91884,"2-SED",5,12.542,0,0,12.542,12.542,"0-Temoin",1,"andosol",2008-12-15,"2008",2008-10-10,4,3,0
"36",36,"SED","15/12/2008","16/12/2008",6,"0-30 cm","0.725",NA,6.1,5.2,NA,"9.888",NA,"12.462",NA,"279.52","14.962","8.819","3.861","0.518","0.258",91885,"2-SED",6,12.462,0,0,12.462,12.462,"9-Mix1248",1,"andosol",2008-12-15,"2008",2008-10-10,4,3,9
"37",37,"SED","15/12/2008","16/12/2008",7,"0-30 cm","0.639",NA,6.09,5.33,NA,"10.483",NA,"12.929",NA,"260.47","16.054","8.584","5.843","1.113","0.135",91886,"2-SED",7,12.929,0,0,12.929,12.929,"8-Mix4070",1,"andosol",2008-12-15,"2008",2008-10-10,4,3,8
"38",38,"SED","15/12/2008","16/12/2008",8,"0-30 cm","0.646",NA,5.13,4.71,NA,"9.891",NA,"12.491",NA,"206.471","6.949","3.688","0.696","0.085","0.061",91887,"2-SED",8,12.491,0,0,12.491,12.491,"2-Min120",1,"andosol",2008-12-15,"2008",2008-10-10,4,3,2
"39",39,"SED","15/12/2008","16/12/2008",9,"0-30 cm","0.67",NA,6.12,5.24,NA,"10.439",NA,"13.303",NA,"300.646","15.359","7.156","5.886","2.018","0.193",91888,"2-SED",9,13.303,0,0,13.303,13.303,"4-Lis70",1,"andosol",2008-12-15,"2008",2008-10-10,4,3,4
"40",40,"SED","15/12/2008","16/12/2008",10,"0-30 cm","0.727",NA,5.92,5.01,NA,"10.14",NA,"13.234",NA,"230.108","11.953","6.873","3.02","0.236","0.19",91889,"2-SED",10,13.234,0,0,13.234,13.234,"7-Mix72",1,"andosol",2008-12-15,"2008",2008-10-10,4,3,7
"41",41,"SED","15/12/2008","16/12/2008",11,"0-30 cm","0.72",NA,6.1,5.17,NA,"11.904",NA,"14.911",NA,"326.67","17.419","10.526","5.147","0.593","0.277",91890,"2-SED",11,14.911,0,0,14.911,14.911,"9-Mix1248",2,"andosol",2008-12-15,"2008",2008-10-10,4,3,9
"42",42,"SED","15/12/2008","16/12/2008",12,"0-30 cm","0.708",NA,5.46,4.78,NA,"9.395",NA,"11.934",NA,"230.443","8.582","3.728","1.577","0.181","0.094",91891,"2-SED",12,11.934,0,0,11.934,11.934,"0-Temoin",2,"andosol",2008-12-15,"2008",2008-10-10,4,3,0
"43",43,"SED","15/12/2008","16/12/2008",13,"0-30 cm","0.711",NA,5.34,4.72,NA,"9.056",NA,"11.834",NA,"206.299","7.057","3.695","0.807","0.155","0.066",91892,"2-SED",13,11.834,0,0,11.834,11.834,"2-Min120",2,"andosol",2008-12-15,"2008",2008-10-10,4,3,2
"44",44,"SED","15/12/2008","16/12/2008",14,"0-30 cm","0.727",NA,6.11,5.19,NA,"10.982",NA,"13.474",NA,"383.736","16.636","7.49","6.188","2.331","0.2",91893,"2-SED",14,13.474,0,0,13.474,13.474,"4-Lis70",2,"andosol",2008-12-15,"2008",2008-10-10,4,3,4
"45",45,"SED","15/12/2008","16/12/2008",15,"0-30 cm","0.738",NA,5.88,5,NA,"11.024",NA,"13.53",NA,"346.623","12.815","6.188","4.508","0.799","0.121",91894,"2-SED",15,13.53,0,0,13.53,13.53,"8-Mix4070",2,"andosol",2008-12-15,"2008",2008-10-10,4,3,8
"46",46,"SED","15/12/2008","16/12/2008",16,"0-30 cm","0.735",NA,5.93,5.07,NA,"9.646",NA,"12.181",NA,"337.192","13.202","7.628","3.818","0.579","0.227",91895,"2-SED",16,12.181,0,0,12.181,12.181,"6-Com12",2,"andosol",2008-12-15,"2008",2008-10-10,4,3,6
"47",47,"SED","15/12/2008","16/12/2008",17,"0-30 cm","0.739",NA,5.64,4.85,NA,"10.367",NA,"13.028",NA,"315.845","9.211","5.467","2.18","0.194","0.073",91896,"2-SED",17,13.028,0,0,13.028,13.028,"1- Min70",2,"andosol",2008-12-15,"2008",2008-10-10,4,3,1
"48",48,"SED","15/12/2008","16/12/2008",18,"0-30 cm","0.744",NA,5.88,4.96,NA,"9.266",NA,"12.021",NA,"233.266","10.044","5.097","2.73","0.371","0.18",91897,"2-SED",18,12.021,0,0,12.021,12.021,"5-Com72",2,"andosol",2008-12-15,"2008",2008-10-10,4,3,5
"49",49,"SED","15/12/2008","16/12/2008",19,"0-30 cm","0.777",NA,5.63,4.84,NA,"9.942",NA,"13.137",NA,"207.568","9.29","5.325","2.342","0.365","0.208",91898,"2-SED",19,13.137,0,0,13.137,13.137,"7-Mix72",2,"andosol",2008-12-15,"2008",2008-10-10,4,3,7
"50",50,"SED","15/12/2008","16/12/2008",20,"0-30 cm","0.765",NA,6.08,5.05,NA,"10.788",NA,"13.809",NA,"292.185","13.437","5.985","4.661","1.748","0.19",91899,"2-SED",20,13.809,0,0,13.809,13.809,"3-Lis40",2,"andosol",2008-12-15,"2008",2008-10-10,4,3,3
"51",51,"SED","15/12/2008","16/12/2008",21,"0-30 cm","0.778",NA,6.18,5.13,NA,"11.882",NA,"14.678",NA,"378.743","15.171","6.652","4.828","1.627","0.181",91900,"2-SED",21,14.678,0,0,14.678,14.678,"3-Lis40",3,"andosol",2008-12-15,"2008",2008-10-10,4,3,3
"52",52,"SED","15/12/2008","16/12/2008",22,"0-30 cm","0.67",NA,5.21,4.86,NA,"8.68",NA,"11.699",NA,"197.268","7.973","3.442","1.259","0.129","0.059",91901,"2-SED",22,11.699,0,0,11.699,11.699,"1- Min70",3,"andosol",2008-12-15,"2008",2008-10-10,4,3,1
"53",53,"SED","15/12/2008","16/12/2008",23,"0-30 cm","0.725",NA,6.06,5.13,NA,"10.956",NA,"13.647",NA,"370.72","15.016","6.709","4.733","0.717","0.123",91902,"2-SED",23,13.647,0,0,13.647,13.647,"8-Mix4070",3,"andosol",2008-12-15,"2008",2008-10-10,4,3,8
"54",54,"SED","15/12/2008","16/12/2008",24,"0-30 cm","0.729",NA,5.89,5.05,NA,"9.213",NA,"12.047",NA,"264.567","12.502","6.65","2.782","0.336","0.174",91903,"2-SED",24,12.047,0,0,12.047,12.047,"7-Mix72",3,"andosol",2008-12-15,"2008",2008-10-10,4,3,7
"55",55,"SED","15/12/2008","16/12/2008",25,"0-30 cm","0.699",NA,5.63,5.17,NA,"11.301",NA,"13.973",NA,"408.609","16.266","9.642","4.775","0.439","0.285",91904,"2-SED",25,13.973,0,0,13.973,13.973,"9-Mix1248",3,"andosol",2008-12-15,"2008",2008-10-10,4,3,9
"56",56,"SED","15/12/2008","16/12/2008",26,"0-30 cm","0.696",NA,5.61,5.09,NA,"10.88",NA,"13.308",NA,"487.389","14.523","7.997","4.496","0.551","0.226",91905,"2-SED",26,13.308,0,0,13.308,13.308,"5-Com72",3,"andosol",2008-12-15,"2008",2008-10-10,4,3,5
"57",57,"SED","15/12/2008","16/12/2008",27,"0-30 cm","0.745",NA,5.54,5.07,NA,"10.736",NA,"13.359",NA,"459.922","15.156","8.736","4.305","0.78","0.341",91906,"2-SED",27,13.359,0,0,13.359,13.359,"6-Com12",3,"andosol",2008-12-15,"2008",2008-10-10,4,3,6
"58",58,"SED","15/12/2008","16/12/2008",28,"0-30 cm","0.703",NA,4.82,4.76,NA,"9.382",NA,"12.054",NA,"252.991","6.884","3.478","1.12","0.147","0.071",91907,"2-SED",28,12.054,0,0,12.054,12.054,"2-Min120",3,"andosol",2008-12-15,"2008",2008-10-10,4,3,2
"59",59,"SED","15/12/2008","16/12/2008",29,"0-30 cm","0.725",NA,5.22,4.89,NA,"8.961",NA,"11.451",NA,"305.752","7.343","3.528","1.668","0.199","0.096",91908,"2-SED",29,11.451,0,0,11.451,11.451,"0-Temoin",3,"andosol",2008-12-15,"2008",2008-10-10,4,3,0
"60",60,"SED","15/12/2008","16/12/2008",30,"0-30 cm","0.691",NA,5.73,5.26,NA,"9.448",NA,"11.758",NA,"343.687","13.388","6.021","4.568","2.16","0.203",91909,"2-SED",30,11.758,0,0,11.758,11.758,"4-Lis70",3,"andosol",2008-12-15,"2008",2008-10-10,4,3,4
"61",61,"MAR","15/12/2008","16/12/2008",1,"0-30 cm","0.794",NA,5.62,5.11,NA,"8.228",NA,"11.781",NA,"182.207","18.657","10.409","7.251","0.252","0.278",91910,"3-MAR",1,11.781,0,0,11.781,11.781,"5-Com72",1,"andosol",2008-12-15,"2008",2008-10-10,4,3,5
"62",62,"MAR","15/12/2008","16/12/2008",2,"0-30 cm","0.826",NA,5.28,4.86,NA,"8.264",NA,"11.567",NA,"155.985","14.732","8.917","5.252","0.065","0.103",91911,"3-MAR",2,11.567,0,0,11.567,11.567,"1- Min70",1,"andosol",2008-12-15,"2008",2008-10-10,4,3,1
"63",63,"MAR","15/12/2008","16/12/2008",3,"0-30 cm","0.809",NA,5.52,5.09,NA,"7.507",NA,"10.093",NA,"176.053","15.587","9.213","5.67","0.335","0.253",91912,"3-MAR",3,10.093,0,0,10.093,10.093,"6-Com12",1,"andosol",2008-12-15,"2008",2008-10-10,4,3,6
"64",64,"MAR","15/12/2008","16/12/2008",4,"0-30 cm","0.825",NA,5.66,5.15,NA,"10.004",NA,"12.928",NA,"251.036","18.115","9.856","7.123","0.717","0.138",91913,"3-MAR",4,12.928,0,0,12.928,12.928,"3-Lis40",1,"andosol",2008-12-15,"2008",2008-10-10,4,3,3
"65",65,"MAR","15/12/2008","16/12/2008",5,"0-30 cm","0.774",NA,5.59,4.99,NA,"8.512",NA,"10.71",NA,"95.297","11.872","5.695","4.976","0.053","0.149",91914,"3-MAR",5,10.71,0,0,10.71,10.71,"0-Temoin",1,"andosol",2008-12-15,"2008",2008-10-10,4,3,0
"66",66,"MAR","15/12/2008","16/12/2008",6,"0-30 cm","0.807",NA,6.04,5.17,NA,"9.301",NA,"11.777",NA,"156.86","17.361","9.921","6.882","0.305","0.372",91915,"3-MAR",6,11.777,0,0,11.777,11.777,"9-Mix1248",1,"andosol",2008-12-15,"2008",2008-10-10,4,3,9
"67",67,"MAR","15/12/2008","16/12/2008",7,"0-30 cm","0.805",NA,5.86,5.11,NA,"9.892",NA,"12.227",NA,"176.854","15.76","8.401","7.173","0.372","0.167",91916,"3-MAR",7,12.227,0,0,12.227,12.227,"8-Mix4070",1,"andosol",2008-12-15,"2008",2008-10-10,4,3,8
"68",68,"MAR","15/12/2008","16/12/2008",8,"0-30 cm","0.741",NA,5.63,4.94,NA,"9.364",NA,"11.712",NA,"132.094","10.502","6.382","3.787","0.045","0.051",91917,"3-MAR",8,11.712,0,0,11.712,11.712,"2-Min120",1,"andosol",2008-12-15,"2008",2008-10-10,4,3,2
"69",69,"MAR","15/12/2008","16/12/2008",9,"0-30 cm","0.77",NA,6.37,5.36,NA,"9.744",NA,"12.145",NA,"225.649","15.837","7.773","6.784","1.149","0.144",91918,"3-MAR",9,12.145,0,0,12.145,12.145,"4-Lis70",1,"andosol",2008-12-15,"2008",2008-10-10,4,3,4
"70",70,"MAR","15/12/2008","16/12/2008",10,"0-30 cm","0.817",NA,5.84,5,NA,"10.371",NA,"13.156",NA,"196.065","15.78","9.337","6.009","0.128","0.175",91919,"3-MAR",10,13.156,0,0,13.156,13.156,"7-Mix72",1,"andosol",2008-12-15,"2008",2008-10-10,4,3,7
"71",71,"MAR","15/12/2008","16/12/2008",11,"0-30 cm","0.837",NA,5.85,5.11,NA,"10.509",NA,"13.387",NA,"240.39","17.617","11.501","6.34","0.436","0.329",91920,"3-MAR",11,13.387,0,0,13.387,13.387,"9-Mix1248",2,"andosol",2008-12-15,"2008",2008-10-10,4,3,9
"72",72,"MAR","15/12/2008","16/12/2008",12,"0-30 cm","0.801",NA,5.36,5.79,NA,"10.615",NA,"13.607",NA,"142.568","11.789","6.497","5.422","0.126","0.137",91921,"3-MAR",12,13.607,0,0,13.607,13.607,"0-Temoin",2,"andosol",2008-12-15,"2008",2008-10-10,4,3,0
"73",73,"MAR","15/12/2008","16/12/2008",13,"0-30 cm","0.811",NA,5.33,4.73,NA,"10.812",NA,"13.774",NA,"200.232","11.298","7.171","3.783","0.126","0.078",91922,"3-MAR",13,13.774,0,0,13.774,13.774,"2-Min120",2,"andosol",2008-12-15,"2008",2008-10-10,4,3,2
"74",74,"MAR","15/12/2008","16/12/2008",14,"0-30 cm","0.802",NA,6.16,5.3,NA,"11.083",NA,"14.172",NA,"285.944","17.293","9.145","7.84","1.181","0.164",91923,"3-MAR",14,14.172,0,0,14.172,14.172,"4-Lis70",2,"andosol",2008-12-15,"2008",2008-10-10,4,3,4
"75",75,"MAR","15/12/2008","16/12/2008",15,"0-30 cm","0.814",NA,5.7,5.06,NA,"9.927",NA,"12.49",NA,"305.219","11.802","6.864","5.041","0.558","0.148",91924,"3-MAR",15,12.49,0,0,12.49,12.49,"8-Mix4070",2,"andosol",2008-12-15,"2008",2008-10-10,4,3,8
"76",76,"MAR","15/12/2008","16/12/2008",16,"0-30 cm","0.848",NA,6.35,5.32,NA,"8.974",NA,"11.845",NA,"446.028","14.976","9.869","4.577","0.896","0.263",91925,"3-MAR",16,11.845,0,0,11.845,11.845,"6-Com12",2,"andosol",2008-12-15,"2008",2008-10-10,4,3,6
"77",77,"MAR","15/12/2008","16/12/2008",17,"0-30 cm","0.853",NA,5.35,4.91,NA,"5.937",NA,"7.685",NA,"303.318","4.6","1.591","0.524","0.039","0.055",91926,"3-MAR",17,7.685,0,0,7.685,7.685,"1- Min70",2,"andosol",2008-12-15,"2008",2008-10-10,4,3,1
"78",78,"MAR","15/12/2008","16/12/2008",18,"0-30 cm","0.855",NA,6.23,5.27,NA,"7.695",NA,"10.071",NA,"420.139","13.283","8.815","3.602","0.742","0.198",91927,"3-MAR",18,10.071,0,0,10.071,10.071,"5-Com72",2,"andosol",2008-12-15,"2008",2008-10-10,4,3,5
"79",79,"MAR","15/12/2008","16/12/2008",19,"0-30 cm","0.858",NA,5.9,5.19,NA,"7.276",NA,"9.7",NA,"374.674","10.956","7.255","2.912","0.318","0.243",91928,"3-MAR",19,9.7,0,0,9.7,9.7,"7-Mix72",2,"andosol",2008-12-15,"2008",2008-10-10,4,3,7
"80",80,"MAR","15/12/2008","16/12/2008",20,"0-30 cm","0.841",NA,5.99,5.2,NA,"10.385",NA,"13.013",NA,"415.672","15.504","8.388","5.593","1.635","0.154",91929,"3-MAR",20,13.013,0,0,13.013,13.013,"3-Lis40",2,"andosol",2008-12-15,"2008",2008-10-10,4,3,3
"81",81,"MAR","15/12/2008","16/12/2008",21,"0-30 cm","0.833",NA,5.9,5.24,NA,"11.316",NA,"14.128",NA,"485.97","14.923","8.249","6.02","1.647","0.185",91930,"3-MAR",21,14.128,0,0,14.128,14.128,"3-Lis40",3,"andosol",2008-12-15,"2008",2008-10-10,4,3,3
"82",82,"MAR","15/12/2008","16/12/2008",22,"0-30 cm","0.741",NA,5.26,4.65,NA,"10.806",NA,"13.921",NA,"335.903","7.583","4.17","1.424","0.131","0.087",91931,"3-MAR",22,13.921,0,0,13.921,13.921,"1- Min70",3,"andosol",2008-12-15,"2008",2008-10-10,4,3,1
"83",83,"MAR","15/12/2008","16/12/2008",23,"0-30 cm","0.765",NA,5.99,5.14,NA,"10.805",NA,"13.332",NA,"370.474","16.017","9.121","5.557","1.01","0.14",91932,"3-MAR",23,13.332,0,0,13.332,13.332,"8-Mix4070",3,"andosol",2008-12-15,"2008",2008-10-10,4,3,8
"84",84,"MAR","15/12/2008","16/12/2008",24,"0-30 cm","0.743",NA,5.59,4.92,NA,"11.181",NA,"14.295",NA,"231.702","12.968","8.726","3.337","0.212","0.316",91933,"3-MAR",24,14.295,0,0,14.295,14.295,"7-Mix72",3,"andosol",2008-12-15,"2008",2008-10-10,4,3,7
"85",85,"MAR","15/12/2008","16/12/2008",25,"0-30 cm","0.79",NA,5.85,5.1,NA,"11.645",NA,"14.66",NA,"371.11","17.5","11.452","5.105","0.692","0.457",91934,"3-MAR",25,14.66,0,0,14.66,14.66,"9-Mix1248",3,"andosol",2008-12-15,"2008",2008-10-10,4,3,9
"86",86,"MAR","15/12/2008","16/12/2008",26,"0-30 cm","0.8",NA,6.04,4.99,NA,"11.407",NA,"14.682",NA,"358.396","14.458","9.594","4.302","0.317","0.261",91935,"3-MAR",26,14.682,0,0,14.682,14.682,"5-Com72",3,"andosol",2008-12-15,"2008",2008-10-10,4,3,5
